Projects, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Plan Type (Project), Aggregation (Project), Data Storage (Project), Formula (Project), Formula Description (Project), Plan Type (Plus), Aggregation (Plus), Data Storage (Plus), Formula (Plus), Solve Order (Plus), Formula Description (Plus), A_Customer, A_ProjectType, A_StartYear, A_StartMonth, A_IsClosed, A_Entity, A_BU, Operation
MSPGHSP1807145600,AllProject,SMKT JAS CF CRF 周年庆 ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,bdb864a9-8a2a-4c04-9b67-cb994e580a2d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIYMHSS1806151206,AllProject,Y18翡丽6月长促理货员短促_6,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0eab1588-2e94-447b-b0f8-a573fe6ed7b0,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIYMHSP1806151700,AllProject,Y18翡丽6月临促活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,59bd2925-e5a5-4a31-b6b4-0370be91ff6b,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLBWHRS1806138800,AllProject,Y18上海KA哈啤小篷车路演活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3c7c5c4d-a6d5-40c0-81ce-b83dda8466c9,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLBWHCA1805148700,AllProject,Y18百威乐山促销员薪资代垫,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5e7e1af7-d158-4368-8401-bf4868177cf4,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLBWHSP1806134100,AllProject,Y18百威精酿啤酒上海城超短促活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b24b0347-97d3-47b7-af30-2cd826d68426,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLBWHSP1807135500,AllProject,Y18南京大润发瑞金店店内路演活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,928e7c87-a112-423a-8b3e-6d19af18f94b,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLBWHSP1807138900,AllProject,Y18百威Q3啤酒屋项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,02e11e59-0e08-4a61-887f-24247a6b4a86,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMJHRS1807145000,AllProject,美赞臣北区7月PS路演项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f0903719-ef91-43aa-80a9-192a0102bab1,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMJHRS1807142000,AllProject,美赞臣南区7月PS路演项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,60fbc4ce-6f92-4e3b-a38d-6dc71d3380b7,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMHHSP1806139000,AllProject,2018年MHD 6月短促工资发放,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ef163ddd-3764-46d1-9c79-8ececea78678,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIPPHCA1806149200,AllProject,Y18 不凡帝西区曼妥思促销员代垫工资-6月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f3e03f0e-bb22-490a-b256-90f5e724e76f,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIUNLSP1807139300,AllProject,Y18 联合利华屈臣氏炫诗店内促销活动-7月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,eeecbb58-32af-486b-8152-e77dc4e73583,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIUNLSP1806139200,AllProject,Y18联合利华7月超人总动员活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2d8b7f57-3235-416a-a6db-b346b3ac53c8,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIUNLSP1806134000,AllProject,Y18 6月联合利华新清扬雪花套组活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a4556825-df0c-4156-9c28-6269c4c8fb03,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIUNLSP1807134200,AllProject,Y18 7月LUX MEGA冰雪奇缘WSP活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8232d6a3-3b2a-4f8d-8b00-081cb0e8d23e,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIPEHSP1806139900,AllProject,百事北区2018年7月桂格活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,59cd0a69-dbc3-48f4-9a5d-f9ba483ce2ae,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMJHSM1806129500,AllProject,美赞臣兼职NC项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6efc04f4-1a74-40e4-a979-d9dcbbb3d71d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIGSKOT1807139400,AllProject,Y18 GSK 共享促销员-7月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,87792e22-7c6f-448f-ac8a-3f7fc9548499,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
